krx_isu_cd,company_name,stock_code,market,is_financial_distress,pattern,category,dart_candidate_names
00001,조흥은행,000010,유가증권,False,B,0_non_distress,신한은행
00003,우리은행,000030,유가증권,True,C,,
00006,메리츠화재,000060,유가증권,False,B,0_non_distress,메리츠화재해상보험
00008,진로,000080,유가증권,True,B,5_unresolved,하이트진로
00011,제일은행,000110,유가증권,True,B,5_unresolved,한국스탠다드차타드은행
00013,한일은행,000130,유가증권,True,A,,
00016,대한중석,000160,유가증권,True,A,,
00017,LG금속,000170,유가증권,True,A,,
00020,대우중공업,000200,유가증권,True,A,,
00028,동아건설,000280,유가증권,True,A,,
00031,해태제과,000310,유가증권,True,A,,
00036,삼환기업,000360,유가증권,True,C,,
00038,대아건설,000380,코스닥,False,C,,
00042,로케트전기,000420,유가증권,True,C,,
00047,그린손해보험,000470,유가증권,True,C,,
00051,태화,000510,유가증권,True,A,,
00057,금호건설,000570,유가증권,True,A,,
00061,제일화재해상보험,000610,유가증권,True,C,,
00079,씨앤상선,000790,유가증권,True,C,,
00080,경남기업,000800,유가증권,True,C,,
00083,삼성물산,000830,유가증권,True,C,,
00084,한국벨트,000840,유가증권,True,A,,
00087,전진산업,000870,코스닥,True,A,,
00090,강원산업,000900,유가증권,True,A,,
00093,한화기계,000930,유가증권,True,A,,
00098,극동건설,000980,유가증권,True,A,,
00103,리젠트화재보험,001030,유가증권,True,A,,
00111,대농,001110,유가증권,True,A,,
00114,국보,001140,유가증권,True,C,,
00115,서통,001150,유가증권,True,C,,
00116,신원제이엠씨,001160,유가증권,True,A,,
00117,장은증권,001170,유가증권,True,A,,
00119,마이크로닉스,001190,유가증권,True,C,,
00128,우리증권,001280,유가증권,False,C,,
00130,제일모직,001300,유가증권,True,C,,
00131,풍림산업,001310,유가증권,True,C,,
00135,대한모방,001350,유가증권,True,A,,
00137,FNC코오롱,001370,유가증권,True,B,1_notation_diff,FnC코오롱
00140,동산씨앤지,001400,유가증권,True,A,,
00149,천지산업,001490,유가증권,True,C,,
00158,신광기업,001580,유가증권,True,C,,
00159,일화모직공업,001590,유가증권,True,C,,
00160,서광건설산업,001600,유가증권,True,C,,
00167,경남모직,001670,유가증권,True,C,,
00169,두산테크팩,001690,유가증권,True,A,,
00170,공영토건,001700,유가증권,True,A,,
00178,동양강철,001780,유가증권,True,B,5_unresolved,알루코
00183,동부일렉트로닉스,001830,유가증권,True,C,,
00185,임광토건,001850,코스닥,True,A,,
00188,DL건설,001880,유가증권,False,B,0_non_distress,디엘건설
00189,영창악기제조,001890,유가증권,True,B,5_unresolved,아이파크영창
00192,한보철강공업,001920,유가증권,True,A,,
00195,남한제지,001950,유가증권,True,C,,
00197,신성건설,001970,유가증권,True,B,5_unresolved,에스지신성건설
00198,대호,001980,유가증권,True,C,,
00199,자유건설,001990,코스닥,True,A,,
00200,한국유리공업,002000,유가증권,True,B,5_unresolved,생고뱅코리아홀딩스
00205,경향건설,002050,유가증권,True,A,,
00208,벽산개발,002080,유가증권,True,A,,
00213,피어리스,002130,유가증권,True,A,,
00218,삼익건설,002180,유가증권,True,A,,
00225,알보젠코리아,002250,유가증권,False,C,,
00227,롯데푸드,002270,유가증권,True,C,,
00230,한국제지,002300,유가증권,True,C,,
00234,유성,002340,유가증권,True,A,,
00247,동성,002470,유가증권,True,A,,
00248,범양사,002480,코스닥,True,C,,
00253,벽산건설,002530,유가증권,True,C,,
00254,고제,002540,유가증권,True,C,,
00255,KB손해보험,002550,유가증권,False,C,,
00258,삼미,002580,유가증권,True,A,,
00261,LGEI,002610,유가증권,True,A,,
00267,미주제강,002670,코스닥,True,C,,
00274,동양화학공업,002740,유가증권,True,A,,
00285,영풍산업,002850,유가증권,True,C,,
00286,하나은행,002860,유가증권,False,C,,
00293,삼도물산,002930,유가증권,True,C,,
00294,경동산업,002940,유가증권,True,A,,
00295,두산건설,002950,유가증권,True,C,,
00302,남양,003020,유가증권,True,C,,
00304,한일약품공업,003040,유가증권,True,C,,
00305,넥상스코리아,003050,유가증권,True,B,5_unresolved,링세오코리아
00311,대일화학공업,003110,유가증권,True,A,,
00319,알앤엘바이오,003190,유가증권,True,B,5_unresolved,알앤엘재생의학연구소
00322,대원제약,003220,코스닥,False,C,,
00326,서광,003260,유가증권,True,A,,
00329,엔케이텔레콤,003290,유가증권,True,A,,
00332,신한증권,003320,유가증권,True,A,,
00333,하나증권,003330,유가증권,False,B,0_non_distress,하나IB증권
00338,제일사료,003380,코스닥,True,B,5_unresolved,하림지주
00341,쌍용씨앤이,003410,유가증권,False,C,,
00343,유진화학,003430,코스닥,True,A,,
00345,현대증권,003450,유가증권,False,B,0_non_distress,케이비증권
00356,아이에이치큐,003560,유가증권,True,C,,
00359,광덕물산,003590,유가증권,True,C,,
00360,SK,003600,유가증권,True,C,,
00364,유니온스틸,003640,유가증권,True,C,,
00366,고려시멘트,003660,유가증권,True,C,,
00367,포스코케미칼,003670,코스닥,False,B,0_non_distress,포스코퓨처엠
00381,대우,003810,유가증권,True,A,,
00384,중원,003840,유가증권,True,A,,
00386,성담,003860,코스닥,True,A,,
00390,해태유업,003900,유가증권,True,B,5_unresolved,동원데어리푸드
00393,부흥,003930,유가증권,True,C,,
00394,삼양제넥스,003940,유가증권,True,C,,
00398,한일합섬,003980,유가증권,True,A,,
00399,BHK,003990,유가증권,True,C,,
00401,롯데미도파,004010,유가증권,True,C,,
00411,대선주조,004110,유가증권,True,A,,
00413,대덕GDS,004130,유가증권,True,C,,
00419,스마텔,004190,유가증권,True,C,,
00420,고려개발,004200,유가증권,True,C,,
00421,한일방직,004210,유가증권,True,A,,
00423,세신,004230,유가증권,True,C,,
00428,아시아차,004280,유가증권,True,A,,
00429,아이케이엔터프라이즈,004290,유가증권,True,A,,
00432,울트라건설,004320,코스닥,True,B,5_unresolved,호반산업
00439,오리온전기,004390,유가증권,True,A,,
00442,동국무역,004420,유가증권,True,A,,
00446,고합,004460,유가증권,True,A,,
00448,동방전자산업,004480,코스닥,True,A,,
00451,디와이홀딩스,004510,유가증권,True,C,,
00453,에스와이,004530,유가증권,True,C,,
00455,대우송도개발,004550,유가증권,True,C,,
00462,캠브리지코오롱,004620,유가증권,True,C,,
00466,신동방CP,004660,유가증권,True,C,,
00473,진로식품,004730,유가증권,True,A,,
00474,보루네오가구,004740,유가증권,True,C,,
00479,렉스엘이앤지,004790,코스닥,True,C,,
00482,조인에너지,004820,유가증권,True,C,,
00494,한국외환은행,004940,유가증권,True,B,5_unresolved,하나은행
00502,장기은행,005020,유가증권,True,A,,
00506,대우통신,005060,유가증권,True,A,,
00510,쌍용제지,005100,유가증권,True,A,,
00519,동성화학,005190,유가증권,True,C,,
00527,대구은행,005270,유가증권,False,B,0_non_distress,아이엠뱅크
00528,부산은행,005280,유가증권,False,C,,
00533,카스코,005330,유가증권,True,C,,
